更新时间: 2026-05-01 16:35:43（北京时间）

更新时间,#genre#
2026-05-01 16:35:43,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV16,http://58.62.234.243:10000/rtp/239.77.0.165:5146$广东电信
CCTV16,http://221.232.40.13:8888/rtp/239.69.1.247:11124$湖北电信
CCTV17,http://58.62.234.243:10000/rtp/239.77.0.198:5146$广东电信
CCTV17,http://113.120.108.132:4000/rtp/239.21.1.186:5002$山东电信
CCTV17,http://221.232.40.13:8888/rtp/239.69.1.152:10548$湖北电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://58.62.234.243:10000/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://221.232.40.13:8888/rtp/239.69.1.12:9712$湖北电信
兵器科技,http://58.62.234.243:10000/rtp/239.253.43.18:5146$广东电信
兵器科技,http://221.232.40.13:8888/rtp/239.69.1.79:10114$湖北电信
风云音乐,http://58.62.234.243:10000/rtp/239.253.43.29:5146$广东电信
风云足球,http://58.62.234.243:10000/rtp/239.253.43.14:5146$广东电信
风云足球,http://221.232.40.13:8888/rtp/239.69.1.81:10126$湖北电信
风云剧场,http://58.62.234.243:10000/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://58.62.234.243:10000/rtp/239.253.43.5:5146$广东电信
第一剧场,http://58.62.234.243:10000/rtp/239.253.43.15:5146$广东电信
第一剧场,http://221.232.40.13:8888/rtp/239.69.1.74:10084$湖北电信
女性时尚,http://58.62.234.243:10000/rtp/239.253.43.8:5146$广东电信
世界地理,http://58.62.234.243:10000/rtp/239.253.43.7:5146$广东电信
世界地理,http://221.232.40.13:8888/rtp/239.69.1.91:10186$湖北电信
央视台球,http://58.62.234.243:10000/rtp/239.253.43.11:5146$广东电信
央视台球,http://221.232.40.13:8888/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://58.62.234.243:10000/rtp/239.253.43.22:5146$广东电信
高尔夫网球,http://221.232.40.13:8888/rtp/239.69.1.83:10138$湖北电信
央视文化精品,http://58.62.234.243:10000/rtp/239.253.43.27:5146$广东电信
卫生健康,http://58.62.234.243:10000/rtp/239.77.0.212:5146$广东电信
电视指南,http://58.62.234.243:10000/rtp/239.253.43.19:5146$广东电信
中学生,http://58.62.234.243:10000/rtp/239.77.1.195:5146$广东电信
发现之旅,http://58.62.234.243:10000/rtp/239.77.1.112:5146$广东电信
书法频道,http://58.62.234.243:10000/rtp/239.77.1.115:5146$广东电信
国学频道,http://58.62.234.243:10000/rtp/239.77.0.226:5146$广东电信
环球奇观,http://58.62.234.243:10000/rtp/239.77.1.198:5146$广东电信

卫视频道,#genre#
湖南卫视,http://58.62.234.243:10000/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://58.62.234.243:10000/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://113.120.108.132:4000/rtp/239.21.1.158:5002$山东电信
湖南卫视,http://221.232.40.13:8888/rtp/239.254.96.139:8908$湖北电信
浙江卫视,http://58.62.234.243:10000/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://58.62.234.243:10000/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://113.120.108.132:4000/rtp/239.21.1.90:5002$山东电信
浙江卫视,http://221.232.40.13:8888/rtp/239.254.96.143:8932$湖北电信
江苏卫视,http://58.62.234.243:10000/rtp/239.77.1.18:5146$广东电信
江苏卫视,http://113.120.108.132:4000/rtp/239.21.1.89:5002$山东电信
江苏卫视,http://221.232.40.13:8888/rtp/239.254.96.144:8938$湖北电信
东方卫视,http://58.62.234.243:10000/rtp/239.77.1.218:5146$广东电信
东方卫视,http://58.62.234.243:10000/rtp/239.77.0.59:5146$广东电信
东方卫视,http://113.120.108.132:4000/rtp/239.21.1.111:5002$山东电信
东方卫视,http://221.232.40.13:8888/rtp/239.254.96.142:8926$湖北电信
深圳卫视,http://58.62.234.243:10000/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://58.62.234.243:10000/rtp/239.77.0.67:5146$广东电信
深圳卫视,http://58.62.234.243:10000/rtp/239.77.1.14:5146$广东电信
深圳卫视,http://113.120.108.132:4000/rtp/239.21.1.93:5002$山东电信
深圳卫视,http://221.232.40.13:8888/rtp/239.254.96.137:8896$湖北电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.91:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.2:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.3:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.153:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.233:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.1.13:5146$广东电信
北京卫视,http://113.120.108.132:4000/rtp/239.21.1.88:5002$山东电信
北京卫视,http://221.232.40.13:8888/rtp/239.254.96.141:8920$湖北电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://113.120.108.132:4000/rtp/239.21.1.92:5002$山东电信
广东卫视,http://221.232.40.13:8888/rtp/239.254.96.140:8914$湖北电信
广西卫视,http://58.62.234.243:10000/rtp/239.77.0.139:5146$广东电信
广西卫视,http://221.232.40.13:8888/rtp/239.69.1.191:10788$湖北电信
东南卫视,http://58.62.234.243:10000/rtp/239.77.0.146:5146$广东电信
东南卫视,http://113.120.108.132:4000/rtp/239.21.1.113:5002$山东电信
东南卫视,http://221.232.40.13:8888/rtp/239.69.1.108:10286$湖北电信
海南卫视,http://58.62.234.243:10000/rtp/239.253.43.35:5146$广东电信
海南卫视,http://113.120.108.132:4000/rtp/239.21.2.14:5002$山东电信
海南卫视,http://221.232.40.13:8888/rtp/239.69.1.151:10542$湖北电信
河北卫视,http://58.62.234.243:10000/rtp/239.77.1.214:5146$广东电信
河北卫视,http://113.120.108.132:4000/rtp/239.21.1.168:5002$山东电信
河北卫视,http://221.232.40.13:8888/rtp/239.254.96.113:9616$湖北电信
河南卫视,http://58.62.234.243:10000/rtp/239.77.0.17:5146$广东电信
河南卫视,http://113.120.108.132:4000/rtp/239.21.2.37:5002$山东电信
河南卫视,http://221.232.40.13:8888/rtp/239.69.1.168:10644$湖北电信
湖北卫视,http://58.62.234.243:10000/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://113.120.108.132:4000/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://221.232.40.13:8888/rtp/239.254.96.115:8664$湖北电信
江西卫视,http://58.62.234.243:10000/rtp/239.77.1.219:5146$广东电信
江西卫视,http://113.120.108.132:4000/rtp/239.21.1.167:5002$山东电信
江西卫视,http://221.232.40.13:8888/rtp/239.69.1.126:10394$湖北电信
四川卫视,http://58.62.234.243:10000/rtp/239.77.0.159:5146$广东电信
四川卫视,http://58.62.234.243:10000/rtp/239.77.0.60:5146$广东电信
四川卫视,http://113.120.108.132:4000/rtp/239.21.2.15:5002$山东电信
四川卫视,http://221.232.40.13:8888/rtp/239.69.1.169:10650$湖北电信
重庆卫视,http://58.62.234.243:10000/rtp/239.77.0.182:5146$广东电信
重庆卫视,http://113.120.108.132:4000/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://221.232.40.13:8888/rtp/239.69.1.149:10530$湖北电信
贵州卫视,http://58.62.234.243:10000/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://113.120.108.132:4000/rtp/239.21.1.166:5002$山东电信
贵州卫视,http://221.232.40.13:8888/rtp/239.69.1.150:10536$湖北电信
云南卫视,http://58.62.234.243:10000/rtp/239.253.43.100:5146$广东电信
天津卫视,http://58.62.234.243:10000/rtp/239.77.0.131:5146$广东电信
天津卫视,http://113.120.108.132:4000/rtp/239.21.1.165:5002$山东电信
天津卫视,http://221.232.40.13:8888/rtp/239.69.1.68:10048$湖北电信
安徽卫视,http://58.62.234.243:10000/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://113.120.108.132:4000/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://221.232.40.13:8888/rtp/239.69.1.70:10060$湖北电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.94:5146$广东电信
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.61:5146$广东电信
山东卫视,http://113.120.108.132:4000/rtp/239.21.1.87:5002$山东电信
山东卫视,http://221.232.40.13:8888/rtp/239.69.1.69:10054$湖北电信
辽宁卫视,http://58.62.234.243:10000/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://113.120.108.132:4000/rtp/239.21.1.164:5002$山东电信
辽宁卫视,http://221.232.40.13:8888/rtp/239.69.1.71:10066$湖北电信
黑龙江卫视,http://58.62.234.243:10000/rtp/239.77.0.93:5146$广东电信
黑龙江卫视,http://113.120.108.132:4000/rtp/239.21.1.28:5002$山东电信
黑龙江卫视,http://221.232.40.13:8888/rtp/239.254.96.138:8902$湖北电信
吉林卫视,http://58.62.234.243:10000/rtp/239.77.1.111:5146$广东电信
吉林卫视,http://113.120.108.132:4000/rtp/239.21.2.49:5002$山东电信
吉林卫视,http://221.232.40.13:8888/rtp/239.69.1.212:10914$湖北电信
内蒙古卫视,http://58.62.234.243:10000/rtp/239.77.0.70:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.73:5146$广东电信
山西卫视,http://58.62.234.243:10000/rtp/239.77.0.69:5146$广东电信
陕西卫视,http://58.62.234.243:10000/rtp/239.77.1.54:5146$广东电信
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://58.62.234.243:10000/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://113.120.108.132:4000/rtp/239.21.2.22:5002$山东电信
青海卫视,http://58.62.234.243:10000/rtp/239.253.43.125:5146$广东电信
青海卫视,http://113.120.108.132:4000/rtp/239.21.2.51:5002$山东电信
新疆卫视,http://58.62.234.243:10000/rtp/239.77.0.47:5146$广东电信
西藏卫视,http://58.62.234.243:10000/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://58.62.234.243:10000/rtp/239.77.0.74:5146$广东电信
三沙卫视,http://58.62.234.243:10000/rtp/239.253.43.113:5146$广东电信
兵团卫视,http://58.62.234.243:10000/rtp/239.77.0.48:5146$广东电信
兵团卫视,http://58.62.234.243:10000/rtp/239.77.0.77:5146$广东电信
延边卫视,http://58.62.234.243:10000/rtp/239.77.0.10:5146$广东电信
延边卫视,http://58.62.234.243:10000/rtp/239.77.1.99:5146$广东电信
山东教育卫视,http://58.62.234.243:10000/rtp/239.77.1.35:5146$广东电信
山东教育卫视,http://58.62.234.243:10000/rtp/239.77.0.83:5146$广东电信
中国教育1台,http://58.62.234.243:10000/rtp/239.77.0.200:5146$广东电信
中国教育1台,http://113.120.108.132:4000/rtp/239.21.2.7:5002$山东电信
中国教育1台,http://221.232.40.13:8888/rtp/239.69.1.110:10298$湖北电信
中国教育2台,http://58.62.234.243:10000/rtp/239.77.0.28:5146$广东电信
中国教育2台,http://58.62.234.243:10000/rtp/239.77.1.69:5146$广东电信
中国教育4台,http://58.62.234.243:10000/rtp/239.253.43.114:5146$广东电信
早期教育,http://58.62.234.243:10000/rtp/239.77.0.180:5146$广东电信

数字频道,#genre#
CHC动作电影,http://113.120.108.132:4000/rtp/239.21.2.128:5002$山东电信
CHC动作电影,http://221.232.40.13:8888/rtp/239.69.1.242:11094$湖北电信
CHC家庭影院,http://113.120.108.132:4000/rtp/239.21.2.126:5002$山东电信
CHC家庭影院,http://221.232.40.13:8888/rtp/239.69.1.243:11100$湖北电信
CHC影迷电影,http://113.120.108.132:4000/rtp/239.21.2.127:5002$山东电信
CHC影迷电影,http://221.232.40.13:8888/rtp/239.69.1.241:11088$湖北电信
凤凰卫视中文台,http://113.120.108.132:4000/rtp/239.21.2.153:5002$山东电信
凤凰卫视资讯台,http://113.120.108.132:4000/rtp/239.21.2.163:5002$山东电信
凤凰卫视香港台,http://113.120.108.132:4000/rtp/239.21.2.164:5002$山东电信
求索纪录,http://58.62.234.243:10000/rtp/239.77.0.21:5146$广东电信
求索纪录,http://113.120.108.132:4000/rtp/239.21.2.159:5002$山东电信
金鹰纪实,http://58.62.234.243:10000/rtp/239.77.0.160:5146$广东电信
金鹰纪实,http://113.120.108.132:4000/rtp/239.21.1.170:5002$山东电信
金鹰纪实,http://221.232.40.13:8888/rtp/239.69.1.109:10292$湖北电信
纪实科教,http://113.120.108.132:4000/rtp/239.21.1.172:5002$山东电信
睛彩青少,http://58.62.234.243:10000/rtp/239.77.1.22:5146$广东电信
睛彩竞技,http://58.62.234.243:10000/rtp/239.77.1.20:5146$广东电信
睛彩篮球,http://58.62.234.243:10000/rtp/239.77.1.21:5146$广东电信
睛彩广场舞,http://58.62.234.243:10000/rtp/239.77.1.23:5146$广东电信
